Source,Target,Type,Label,Weight,source type,edge label,target type
Isabella Linton,Liebling,Undirected,,1,Figur,verkörpert,Rolle
0,Dieb,Undirected,,1,Figur,verkörpert,Rolle
0,Geschöpf,Undirected,,1,Figur,verkörpert,Rolle
0,Wilde,Undirected,,1,Figur,verkörpert,Rolle
0,Liebling,Undirected,,1,Figur,verkörpert,Rolle
0,Knabe,Undirected,,1,Figur,verkörpert,Rolle
0,Satansbrut,Undirected,,1,Figur,verkörpert,Rolle
0,Hund,Undirected,,1,Figur,verkörpert,Rolle
0,Junge,Undirected,,1,Figur,verkörpert,Rolle
0,Menschenkind,Undirected,,1,Figur,verkörpert,Rolle
0,Findling,Undirected,,1,Figur,verkörpert,Rolle
0,Wesen,Undirected,,1,Figur,verkörpert,Rolle
0,Fremder,Undirected,,1,Figur,verkörpert,Rolle
0,Vater,Undirected,,1,Figur,verkörpert,Rolle
0,Zigeunerjunge,Undirected,,1,Figur,verkörpert,Rolle
0,Kind,Undirected,,1,Figur,verkörpert,Rolle
0,Kukuksei,Undirected,,1,Figur,verkörpert,Rolle
0,Grobian,Undirected,,1,Figur,verkörpert,Rolle
0,Patron,Undirected,,1,Figur,verkörpert,Rolle
0,Führer,Undirected,,1,Figur,verkörpert,Rolle
0,Eindringling,Undirected,,1,Figur,verkörpert,Rolle
0,Übeltäter,Undirected,,1,Figur,verkörpert,Rolle
0,Kerl,Undirected,,1,Figur,verkörpert,Rolle
0,Wirt,Undirected,,1,Figur,verkörpert,Rolle
0,Herr,Undirected,,1,Figur,verkörpert,Rolle
0,Landesjunker,Undirected,,1,Figur,verkörpert,Rolle
0,Zigeuner,Undirected,,1,Figur,verkörpert,Rolle
0,Eigentümer,Undirected,,1,Figur,verkörpert,Rolle
0,Mann,Undirected,,1,Figur,verkörpert,Rolle
0,Nachbar,Undirected,,1,Figur,verkörpert,Rolle
0,Bursche,Undirected,,1,Figur,verkörpert,Rolle
0,Gutsherr,Undirected,,1,Figur,verkörpert,Rolle
