Source,Target,Type,Label,Weight,source type,target type,gender
Ruckstuhl,Infanteriesoldaten,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Offizier,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Unterinstruktoren,Undirected,,1,Figur,Genderrolle,MAnn
Soldaten,Kameraden,Undirected,,1,Figur,Genderrolle,MAnn
Spörri,Rekrut,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Bedienten,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Bauernsohn,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Geizkragen,Undirected,,1,Figur,Genderrolle,Genderneutral
Spörri,Scharfschütz,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Gönner,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Schnapphahn,Undirected,,1,Figur,Genderrolle,Genderneutral
Spörri,Spörri,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Bauernfilz,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Famulus,Undirected,,1,Figur,Genderrolle,Mann
Spörri,Schütz,Undirected,,1,Figur,Genderrolle,Mann
geeigneter Soldat,Philister,Undirected,,1,Figur,Genderrolle,Genderneutral
geeigneter Soldat,Wildfang,Undirected,,1,Figur,Genderrolle,Genderneutral
Spörri,Anhänger,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Herr,Undirected,,1,Figur,Genderrolle,Mann
Hermine Frymann,Herminen,Undirected,,1,Figur,Genderrolle,Frau
die Magd,Magd,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Gevatterin,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Person4,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Sünderin,Undirected,,1,Figur,Genderrolle,Frau
Frau Hediger,Alze,Undirected,,1,Figur,Genderrolle,Frau
Hermine Frymann,Aff,Undirected,,1,Figur,Genderrolle,Mann
Hermine Frymann,Staatshexe,Undirected,,1,Figur,Genderrolle,Frau
Karl Hediger,Scharfschütze,Undirected,,1,Figur,Genderrolle,Mann
Züricher Trompeter,Züricher Trompeter,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Monsieur,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Strolch,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Tagdieb,Undirected,,1,Figur,Genderrolle,Mann
ein Schwiegersohn,Schwiegersohn,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Sohne,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Genie,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruckstuhl,Praktikus,Undirected,,1,Figur,Genderrolle,Mann
Leute,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruckstuhl,Wohldiener,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Frymann,Papa,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Mensche,Undirected,,1,Figur,Genderrolle,Genderneutral
Hermine Frymann,Schätzchen,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruckstuhl,Schlingel,Undirected,,1,Figur,Genderrolle,Mann
junge Frauen,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
junge Männer,Jünglinge,Undirected,,1,Figur,Genderrolle,Mann
junge Frau,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
junger Mann,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
Züricher Trompeter,Trompeter,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Patron,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Schütz,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Offiziere,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Zimmergenossen,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Schildwachen,Undirected,,1,Figur,Genderrolle,Mann
ein Offizier,Offizier,Undirected,,1,Figur,Genderrolle,Mann
Offizier,Feind,Undirected,,1,Figur,Genderrolle,Mann
ein Offizier,Wache,Undirected,,1,Figur,Genderrolle,Genderneutral
ein Offizier,Verhöhnte,Undirected,,1,Figur,Genderrolle,Mann
ein Offizier,Herr Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Herr Ruckstuhl,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Musjö,Undirected,,1,Figur,Genderrolle,Mann
Frymann,Meister,Undirected,,1,Figur,Genderrolle,Mann
Lehrlinge Frymanns,Lehrlinge,Undirected,,1,Figur,Genderrolle,Genderneutral
Ruckstuhl,Flegel,Undirected,,1,Figur,Genderrolle,Mann
Ruckstuhl,Freier,Undirected,,1,Figur,Genderrolle,Mann
Scharfschützen,Schützen,Undirected,,1,Figur,Genderrolle,Mann
Soldaten,Vorgesetze,Undirected,,1,Figur,Genderrolle,Mann
ein Sprecher,Sprecher,Undirected,,1,Figur,Genderrolle,Mann
ein Sprecher,Redner,Undirected,,1,Figur,Genderrolle,Mann
Widersacher,Widersacher,Undirected,,1,Figur,Genderrolle,Mann
Festpräsident,Festpräsident,Undirected,,1,Figur,Genderrolle,Mann
Daniel Frymann,Daniel,Undirected,,1,Figur,Genderrolle,Mann
Daniel Frymann,Narr,Undirected,,1,Figur,Genderrolle,Mann
Gesellen Hedigers,Gesellen,Undirected,,1,Figur,Genderrolle,Mann
Fahnenträger,Träger,Undirected,,1,Figur,Genderrolle,Mann
