Source,Target,Type,Label,Weight,source type,target type,gender
Leutnant Engelbrecht,Leutnant,Undirected,,1,Figur,Genderrolle,Mann
Leutnant Engelbrecht,Engelbrecht,Undirected,,1,Figur,Genderrolle,Mann
Pastor Niemeyer,Vater,Undirected,,1,Figur,Genderrolle,Mann
Beteiligten,Beteiligten,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Briest,Patronatsherrn,Undirected,,1,Figur,Genderrolle,Mann
Herr Briest,Freundes,Undirected,,1,Figur,Genderrolle,Mann
Herr Kleist,Kleist,Undirected,,1,Figur,Genderrolle,Mann
Herr,Herr,Undirected,,1,Figur,Genderrolle,Mann
Heer,Herr,Undirected,,1,Figur,Genderrolle,Mann
Geert Instetten,Menschenexemplar,Undirected,,1,Figur,Genderrolle,Genderneutral
Familie Briest,Briests,Undirected,,1,Figur,Genderrolle,Genderneutral
Herr Briest,Eltern,Undirected,,1,Figur,Genderrolle,Genderneutral
Luise Briest,Eltern,Undirected,,1,Figur,Genderrolle,Genderneutral
Uradel,Uradel,Undirected,,1,Figur,Genderrolle,Genderneutral
Hohenzoller,Hohenzoller,Undirected,,1,Figur,Genderrolle,Mann
Pensionslehrer,Pensionslehrer,Undirected,,1,Figur,Genderrolle,Mann
Aschenbrödel,Aschenbrödels,Undirected,,1,Figur,Genderrolle,Frau
Gräfin,Gräfin,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Effis,Undirected,,1,Figur,Genderrolle,Frau
Goschenhofer,Goschenhofer,Undirected,,1,Figur,Genderrolle,Mann
Personen,Personen,Undirected,,1,Figur,Genderrolle,Genderneutral
Kessiner,Kessiner,Undirected,,1,Figur,Genderrolle,Genderneutral
Tambourmajor,Tambourmajor,Undirected,,1,Figur,Genderrolle,Mann
Lot,Lot,Undirected,,1,Figur,Genderrolle,Mann
Hulda Niemeyer,Tochter,Undirected,,1,Figur,Genderrolle,Frau
Lots Frau,Lots,Undirected,,1,Figur,Genderrolle,Mann
Lots Frau,Frau,Undirected,,1,Figur,Genderrolle,Frau
Effi Briest,Schatz,Undirected,,1,Figur,Genderrolle,Genderneutral
Effi Briest,Person,Undirected,,1,Figur,Genderrolle,Genderneutral
Stabsarzt,Stabsarzt,Undirected,,1,Figur,Genderrolle,Mann
Mutter,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Schwester,Schwester,Undirected,,1,Figur,Genderrolle,Frau
Verwandte,Verwandten,Undirected,,1,Figur,Genderrolle,Genderneutral
Geert Instetten,Generalstab,Undirected,,1,Figur,Genderrolle,Mann
Jugendliche,Jugendliche,Undirected,,1,Figur,Genderrolle,Genderneutral
Heer Briest,Papa,Undirected,,1,Figur,Genderrolle,Mann
Friedrich Karl,Prinz,Undirected,,1,Figur,Genderrolle,Mann
