Source,Target,Type,Label,Weight,source type,target type,gender
Versammlung,Zuhörer,Undirected,,1,Figur,Rolle,Genderneutral
Versammlung,Beamte,Undirected,,1,Figur,Rolle,Genderneutral
Versammlung,Schnüffler,Undirected,,1,Figur,Rolle,Genderneutral
Versammlung,Lumpen,Undirected,,1,Figur,Rolle,Genderneutral
Berthold,Student,Undirected,,1,Figur,Rolle,Mann
Gerichtsdiener,Mann,Undirected,,1,Figur,Rolle,Mann
Gerichtsdiener,Gerichtsdiener,Undirected,,1,Figur,Rolle,Mann
Berthold,Mann,Undirected,,1,Figur,Rolle,Mann
Zeichner,Zeichner,Undirected,,1,Figur,Rolle,Mann
Grete,Grete,Undirected,,1,Figur,Rolle,Frau
Hans,Mann,Undirected,,1,Figur,Rolle,Mann
Hans,Hans,Undirected,,1,Figur,Rolle,Mann
Vorgesetzte,Vorgesetzte,Undirected,,1,Figur,Rolle,Genderneutral
Gerichtsbeamte,Gerichtsbeamte,Undirected,,1,Figur,Rolle,Genderneutral
Versammlung,Herren,Undirected,,1,Figur,Rolle,Mann
Untersuchungsrichter,Beamter,Undirected,,1,Figur,Rolle,Mann
Berthold,Mitarbeiter,Undirected,,1,Figur,Rolle,Mann
Berthold,junger Mann,Undirected,,1,Figur,Rolle,Mann
Berthold,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Berthold,künftiger Gerichtsbeamter,Undirected,,1,Figur,Rolle,Mann
Berthold,Scheusal,Undirected,,1,Figur,Rolle,Genderneutral
Berthold,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Berthold,Bartträger,Undirected,,1,Figur,Rolle,Mann
Frau des Gerichtsdieners,Fremde,Undirected,,1,Figur,Rolle,Frau
Mieter,Mietsparteien,Undirected,,1,Figur,Rolle,Genderneutral
Frauen,Weiber,Undirected,,1,Figur,Rolle,Frau
Frau des Gerichtsdieners,Schönste,Undirected,,1,Figur,Rolle,Frau
Berthold,Feigling,Undirected,,1,Figur,Rolle,Mann
Publikum,Publikum,Undirected,,1,Figur,Rolle,Genderneutral
Angeklagte,Kollegen,Undirected,,1,Figur,Rolle,Genderneutral
Angeklagter,Mann,Undirected,,1,Figur,Rolle,Mann
Angeklagter,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Angeklagter,Gefragter,Undirected,,1,Figur,Rolle,Mann
Angeklagte,Gruppe,Undirected,,1,Figur,Rolle,Genderneutral
Angeklagte,Wartende,Undirected,,1,Figur,Rolle,Genderneutral
