Source,Target,Type,Label,Weight,source type,target type,gender
Der Pfarrer von St.,Vikar,Undirected,,1,Figur,Rolle,Mann
Der Pfarrer von St.,Nachfolger,Undirected,,1,Figur,Rolle,Mann
Friederike,Jungfer,Undirected,,1,Figur,Rolle,Frau
Friederike,Brünette,Undirected,,1,Figur,Rolle,Frau
Herr Schmidt,Liebhaber,Undirected,,1,Figur,Rolle,Mann
Herr Schmidt,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Frau M.,Freundin,Undirected,,1,Figur,Rolle,Frau
Mariane,Mariane,Undirected,,1,Figur,Rolle,Frau
Malchen,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Malchen,Kleines,Undirected,,1,Figur,Rolle,Genderneutral
Selstadt,Selstadt,Undirected,,1,Figur,Rolle,Mann
Austan,Kerlchen,Undirected,,1,Figur,Rolle,Mann
Junger W.,Kerlchen,Undirected,,1,Figur,Rolle,Mann
Selstadt,Kerlchen,Undirected,,1,Figur,Rolle,Mann
Werther,Kind,Undirected,,1,Figur,Rolle,Genderneutral
Herr M.,Filz,Undirected,,1,Figur,Rolle,Mann
Herr M.,Mann,Undirected,,1,Figur,Rolle,Mann
Albert,Bräutigam,Undirected,,1,Figur,Rolle,Mann
Werthers Diener,Diener,Undirected,,1,Figur,Rolle,Mann
Werthers Diener,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Werthers Diener,Bursche,Undirected,,1,Figur,Rolle,Mann
Werthers Diener,Junge,Undirected,,1,Figur,Rolle,Mann
Der Gesandte,Gesandter,Undirected,,1,Figur,Rolle,Mann
Der Gesandte,Mann,Undirected,,1,Figur,Rolle,Mann
Der Gesandte,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Werthers Großmutter,Großmutter,Undirected,,1,Figur,Rolle,Frau
Lotte,Weib,Undirected,,1,Figur,Rolle,Frau
Werther,Verehrer,Undirected,,1,Figur,Rolle,Mann
Albert,Verehrer,Undirected,,1,Figur,Rolle,Mann
Werther,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Werther,Fratze,Undirected,,1,Figur,Rolle,Mann
Lottes Vater,Alter,Undirected,,1,Figur,Rolle,Mann
Lottes Mutter,Mutter,Undirected,,1,Figur,Rolle,Frau
Ein Freund von Albert,Freund,Undirected,,1,Figur,Rolle,Mann
Ein Bedienter,Bedienter,Undirected,,1,Figur,Rolle,Mann
Albert,Lieber,Undirected,,1,Figur,Rolle,Mann
Albert,Guter,Undirected,,1,Figur,Rolle,Mann
Ein Mädchen,Mädchen,Undirected,,1,Figur,Rolle,Frau
Ein Mädchen,Geschöpf,Undirected,,1,Figur,Rolle,Genderneutral
Albert,Freund,Undirected,,1,Figur,Rolle,Mann
Gott,Ewigschaffender,Undirected,,1,Figur,Rolle,Genderneutral
Gott,Wesen,Undirected,,1,Figur,Rolle,Genderneutral
Wilhelm,Bruder,Undirected,,1,Figur,Rolle,Mann
Der Minister,Minister,Undirected,,1,Figur,Rolle,Mann
Werther,Unglücklicher,Undirected,,1,Figur,Rolle,Mann
Lottes Mutter,Teuerste,Undirected,,1,Figur,Rolle,Frau
Lottes Mutter,Heilige,Undirected,,1,Figur,Rolle,Frau
Lotte,Frau,Undirected,,1,Figur,Rolle,Frau
Lottes jüngster Bruder,Sohn,Undirected,,1,Figur,Rolle,Mann
Lotte,Mutter,Undirected,,1,Figur,Rolle,Frau
Lotte,Tochter,Undirected,,1,Figur,Rolle,Frau
Lottes Mutter,Mama,Undirected,,1,Figur,Rolle,Frau
Werther,Glücklichster,Undirected,,1,Figur,Rolle,Mann
Graf C.,Graf,Undirected,,1,Figur,Rolle,Mann
Graf C.,Mann,Undirected,,1,Figur,Rolle,Mann
Graf C.,Kopf,Undirected,,1,Figur,Rolle,Genderneutral
Graf C.,Seele,Undirected,,1,Figur,Rolle,Genderneutral
Der Gesandte,Narr,Undirected,,1,Figur,Rolle,Mann
Der Gesandte,Base,Undirected,,1,Figur,Rolle,Frau
Der Gesandte,Todtfeind,Undirected,,1,Figur,Rolle,Mann
Der Gesandte,Alter,Undirected,,1,Figur,Rolle,Mann
Ein Weib,Närrin,Undirected,,1,Figur,Rolle,Frau
Ein Weib,Weib,Undirected,,1,Figur,Rolle,Frau
Ein Weib,Amtschreiberstochter,Undirected,,1,Figur,Rolle,Frau
Fräulein von B.,Geschöpf,Undirected,,1,Figur,Rolle,Genderneutral
Tante von B.,Tante,Undirected,,1,Figur,Rolle,Frau
Tante von B.,Alter,Undirected,,1,Figur,Rolle,Frau
Fräulein von B.,Fräulein,Undirected,,1,Figur,Rolle,Frau
Fräulein von B.,Nichte,Undirected,,1,Figur,Rolle,Frau
Lotte,Beste,Undirected,,1,Figur,Rolle,Frau
Werther,Marionette,Undirected,,1,Figur,Rolle,Genderneutral
Lottes Geschwister,Liebe,Undirected,,1,Figur,Rolle,Genderneutral
