Source,Target,Type,Label,Weight,source type,target type,gender
Juden,Juden,Undirected,,1,Figur,Genderrolle,Mann
Frau Bär,Frau Autobär,Undirected,,1,Figur,Genderrolle,Frau
ein Belletrist,ein Belletrist,Undirected,,1,Figur,Genderrolle,Mann
Sohn Perzl,Sohn,Undirected,,1,Figur,Genderrolle,Mann
Frau von Sohn Perzl,Mistvieh,Undirected,,1,Figur,Genderrolle,Genderneutral
Ferdinand Perzl,Mann,Undirected,,1,Figur,Genderrolle,Mann
Beamte,Beamte,Undirected,,1,Figur,Genderrolle,Mann
zwei Frauen,Damen,Undirected,,1,Figur,Genderrolle,Frau
ein alter Mann,Herr,Undirected,,1,Figur,Genderrolle,Mann
zwei Frauen,Emigrantinnen,Undirected,,1,Figur,Genderrolle,Frau
ein Beamter,Beamte,Undirected,,1,Figur,Genderrolle,Mann
ein Beamter,Emigrant,Undirected,,1,Figur,Genderrolle,Mann
ein alter Mann,Abgeordneter,Undirected,,1,Figur,Genderrolle,Mann
ein alter Mann,Demokrat,Undirected,,1,Figur,Genderrolle,Mann
die Demokraten,Demokraten,Undirected,,1,Figur,Genderrolle,Mann
ein alter Mann,der Bart,Undirected,,1,Figur,Genderrolle,Mann
ungarischer Handelsminister,Freund,Undirected,,1,Figur,Genderrolle,Mann
ungarischer Handelsminister,Handelsminister,Undirected,,1,Figur,Genderrolle,Mann
ein Beamter,Beamter,Undirected,,1,Figur,Genderrolle,Mann
ein Beamter,Gedächtniskünstler,Undirected,,1,Figur,Genderrolle,Mann
ein Beamter,Zirkus,Undirected,,1,Figur,Genderrolle,Mann
ein alter Mann,Herren,Undirected,,1,Figur,Genderrolle,Mann
Rosa,Kellnerin,Undirected,,1,Figur,Genderrolle,Frau
Herr Kastner,Herr Kastner,Undirected,,1,Figur,Genderrolle,Mann
Herr Dünzl,Herr Dünzl,Undirected,,1,Figur,Genderrolle,Mann
Herr Dünzl,der Dünzl,Undirected,,1,Figur,Genderrolle,Mann
Herr Schaal,Herr Schaal,Undirected,,1,Figur,Genderrolle,Mann
Rosa,Rosa,Undirected,,1,Figur,Genderrolle,Frau
Rosa,Alte,Undirected,,1,Figur,Genderrolle,Frau
Anna Pollinger,Fräulein Anna Pollinger,Undirected,,1,Figur,Genderrolle,Frau
Anna Pollinger,Anna,Undirected,,1,Figur,Genderrolle,Frau
Anna Pollinger,Fräulein Pollinger,Undirected,,1,Figur,Genderrolle,Frau
Anna Pollinger,Fräulein,Undirected,,1,Figur,Genderrolle,Frau
Männer,Herren,Undirected,,1,Figur,Genderrolle,Mann
Fritz,Herr,Undirected,,1,Figur,Genderrolle,Mann
Fritz,Fritz,Undirected,,1,Figur,Genderrolle,Mann
ein Kind,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Zugführer,Herr,Undirected,,1,Figur,Genderrolle,Mann
Kaufmannsgattin,Kaufmannsgattin,Undirected,,1,Figur,Genderrolle,Frau
Kaufmann,Gatte,Undirected,,1,Figur,Genderrolle,Mann
ein Kaufmann,Kaufmann,Undirected,,1,Figur,Genderrolle,Mann
Kaufmannsgattin,Frau,Undirected,,1,Figur,Genderrolle,Frau
Thimoteus Bschorr,Herr,Undirected,,1,Figur,Genderrolle,Mann
ein Deutscher,Deutscher,Undirected,,1,Figur,Genderrolle,Mann
ein Deutscher,Asphaltdeutscher,Undirected,,1,Figur,Genderrolle,Mann
Mädchen,Mädchen,Undirected,,1,Figur,Genderrolle,Frau
Mädchen,Girls,Undirected,,1,Figur,Genderrolle,Frau
Studienrat,Studienrat,Undirected,,1,Figur,Genderrolle,Mann
Tochter des Studienrats,Tochter,Undirected,,1,Figur,Genderrolle,Frau
Deutschargentinier,Deutsch-Argentinier,Undirected,,1,Figur,Genderrolle,Mann
die Deutschen,Deutsche,Undirected,,1,Figur,Genderrolle,Genderneutral
der Kofferträger,Kofferträger,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Nachbar,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Timoteus Bschorr,Undirected,,1,Figur,Genderrolle,O
Thimoteus Bschorr,Gegenüber,Undirected,,1,Figur,Genderrolle,Genderneutral
dritter Herr,Herr,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Herr Bschorr,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,der Bschorr,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Hotelier,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Thimoteus,Undirected,,1,Figur,Genderrolle,Mann
dritter Herr,Leutl,Undirected,,1,Figur,Genderrolle,Gendeneutral
Thimoteus Bschorr,Hund,Undirected,,1,Figur,Genderrolle,Mann
Thimoteus Bschorr,Deutsche,Undirected,,1,Figur,Genderrolle,Gendeneutral
436,Witwe,Undirected,,1,Figur,Genderrolle,Frau
kein Deutscher,Fremder,Undirected,,1,Figur,Genderrolle,Mann
Reichsfinanzminister,Reichsfinanzminister,Undirected,,1,Figur,Genderrolle,Mann
Reichsfinanzminister,kane Minister,Undirected,,1,Figur,Genderrolle,Mann
Reichsfinanzminister,Preißen,Undirected,,1,Figur,Genderrolle,Mann
Reichsfinanzminister,Lumpn,Undirected,,1,Figur,Genderrolle,Genderneutral
ein Araber,Araber,Undirected,,1,Figur,Genderrolle,Mann
Thimoteu Bschorr,Quadratidiot,Undirected,,1,Figur,Genderrolle,Mann
die Bayern,die Bayern,Undirected,,1,Figur,Genderrolle,Genderneutral
Arbeiter,Arbeiter,Undirected,,1,Figur,Genderrolle,Mann
dritter Mann,Herr,Undirected,,1,Figur,Genderrolle,Mann
Tochter des Düsseldorfer Aufsichtsrates,Dame,Undirected,,1,Figur,Genderrolle,Frau
Tochter des Düsseldorfer Aufsichtsrates,Tochter,Undirected,,1,Figur,Genderrolle,Frau
dritter Mann,Kaufmann,Undirected,,1,Figur,Genderrolle,Mann
dritter Mann,Lehrer,Undirected,,1,Figur,Genderrolle,Mann
Frau von dritter Herr,Protestantin,Undirected,,1,Figur,Genderrolle,Frau
Frau von dritter Herr,Alte,Undirected,,1,Figur,Genderrolle,Frau
Kinder dritter Mann,Kinder,Undirected,,1,Figur,Genderrolle,Genderneutral
Gendarmen,Gendarmen,Undirected,,1,Figur,Genderrolle,Mann
Finanzer,Finanzer,Undirected,,1,Figur,Genderrolle,Mann
Fahrgast,Person,Undirected,,1,Figur,Genderrolle,Genderneutral
Passbeamter,Paßbeamter,Undirected,,1,Figur,Genderrolle,Mann
Schaffner,Schaffner,Undirected,,1,Figur,Genderrolle,Mann
der Reisende,der Reisende,Undirected,,1,Figur,Genderrolle,Mann
Österreicher,Österreicher,Undirected,,1,Figur,Genderrolle,Genderneutral
Österreicher,Leut,Undirected,,1,Figur,Genderrolle,Genderneutral
Hofrat,Hofrat,Undirected,,1,Figur,Genderrolle,Mann
der Volksmann,Mann aus dem Volke,Undirected,,1,Figur,Genderrolle,Mann
der Volksmann,Mann,Undirected,,1,Figur,Genderrolle,Mann
der Volksmann,Weltmeister,Undirected,,1,Figur,Genderrolle,Mann
Arbeitskollegen,Arbeitskollegen,Undirected,,1,Figur,Genderrolle,Mann
Gauleiter,Ingenieur,Undirected,,1,Figur,Genderrolle,Mann
Gauleiter,Gauleiter,Undirected,,1,Figur,Genderrolle,Mann
Hofrat,Mensch,Undirected,,1,Figur,Genderrolle,Genderneutral
Österreicher,Leute,Undirected,,1,Figur,Genderrolle,Genderneutral
Gott,Herrgott,Undirected,,1,Figur,Genderrolle,Mann
Sozialisten,Sozis,Undirected,,1,Figur,Genderrolle,Genderneutral
Andreas Hofer,Andreas Hofer,Undirected,,1,Figur,Genderrolle,Mann
der Volksmann,Volksmann,Undirected,,1,Figur,Genderrolle,Mann
die Juden,Juden,Undirected,,1,Figur,Genderrolle,Genderneutral
Andreas Hofer,Juden,Undirected,,1,Figur,Genderrolle,Genderneutral
Andreas Hofer,Halsmann,Undirected,,1,Figur,Genderrolle,Mann
Andreas Hofer,Judenbengel,Undirected,,1,Figur,Genderrolle,Mann
ein Jude,Jude,Undirected,,1,Figur,Genderrolle,Mann
ein Jude,Jud,Undirected,,1,Figur,Genderrolle,Mann
Mensch,Nichts,Undirected,,1,Figur,Genderrolle,Genderneutral
die Italiener,Italiener,Undirected,,1,Figur,Genderrolle,Genderneutral
Brüder Italiens,Brüder,Undirected,,1,Figur,Genderrolle,Mann
Graf Berchtold,Graf Berchtold,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm II,Exkaiser,Undirected,,1,Figur,Genderrolle,Mann
Wilhelm II,Wilhelm II,Undirected,,1,Figur,Genderrolle,Mann
Ludendorff,Ludendorff,Undirected,,1,Figur,Genderrolle,Mann
ein Universitätsprofessor,Universitätsprofessor,Undirected,,1,Figur,Genderrolle,Mann
ein Universitätsprofessor,Chauvinist,Undirected,,1,Figur,Genderrolle,Mann
Benito Mussolini,Mussolini,Undirected,,1,Figur,Genderrolle,Mann
Kasener,Kasener,Undirected,,1,Figur,Genderrolle,Mann
Behördenmnänner,Männder,Undirected,,1,Figur,Genderrolle,Mann
Reisende,Reisende,Undirected,,1,Figur,Genderrolle,Genderneutral
Oberpassbeamter,Anführer,Undirected,,1,Figur,Genderrolle,Mann
blonde Frau,Frau,Undirected,,1,Figur,Genderrolle,Frau
blonde Frau,Deutsch,Undirected,,1,Figur,Genderrolle,Frau
blonde Frau,Skandinavierin,Undirected,,1,Figur,Genderrolle,Frau
Oberpassbeamter,Passbemater,Undirected,,1,Figur,Genderrolle,Mann
Passunterbeamter,Begleiter,Undirected,,1,Figur,Genderrolle,Mann
Passunterbeamter,Paßunterbeamter,Undirected,,1,Figur,Genderrolle,Mann
Oberpassbeamter,Oberpaßbeamter,Undirected,,1,Figur,Genderrolle,Mann
Reisender,Reisende,Undirected,,1,Figur,Genderrolle,Mann
Albert Hausmann,Signor,Undirected,,1,Figur,Genderrolle,Mann
Albert Hausmann,Albert Hausmann,Undirected,,1,Figur,Genderrolle,Mann
Albert Hausmann,Signor Hausmann,Undirected,,1,Figur,Genderrolle,Mann
Albert Hausmann,Erholsungsbedürftiger,Undirected,,1,Figur,Genderrolle,Mann
Isidore Niederthaler,Isidore Niederthaler,Undirected,,1,Figur,Genderrolle,Mann
Frau Niederthaler,Weib,Undirected,,1,Figur,Genderrolle,Frau
Franz Zeisig,Reisender,Undirected,,1,Figur,Genderrolle,Mann
Franz Zeisig,Franz Zeisig,Undirected,,1,Figur,Genderrolle,Mann
Benito Mussolini,Benito Mussolini,Undirected,,1,Figur,Genderrolle,Mann
