Source,Target,Type,Label,Weight,source type,target type,gender
"Majorin von Ziegenhals, Edwine von Bomst",Visavis,Undirected,,1,Figur,Rolle,Genderneutral
"Vogelsang, Adolar Krola",Nachbar,Undirected,,1,Figur,Rolle,Mann
"Majorin von Ziegenhals, Edwine von Bomst",Gegenüber,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Nachbar,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Mensch,Undirected,,1,Figur,Rolle,Genderneutral
Vogelsang,Mephisto,Undirected,,1,Figur,Rolle,Mann
Bürgermeister Tschech,Bürgermeister Tschech,Undirected,,1,Figur,Rolle,Mann
Bürgermeister Tschech,Rechtsfanatiker,Undirected,,1,Figur,Rolle,Mann
"König Friedrich Wilhelm IV., Königin",Königspaar,Undirected,,1,Figur,Rolle,Genderneutral
George Herwegh,Hauptsünder,Undirected,,1,Figur,Rolle,Mann
George Herwegh,Herwegh,Undirected,,1,Figur,Rolle,Mann
George Herwegh,Lieblingsdichter,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Konfirmandin,Undirected,,1,Figur,Rolle,Frau
König Friedrich Wilhelm IV.,König,Undirected,,1,Figur,Rolle,Mann
George Herwegh,Dichter,Undirected,,1,Figur,Rolle,Mann
George Herwegh,Herr Dichter,Undirected,,1,Figur,Rolle,Mann
Meyerbeer,Mann,Undirected,,1,Figur,Rolle,Mann
Meyerbeer,Künstler,Undirected,,1,Figur,Rolle,Mann
Meyerbeer,Meyerbeer,Undirected,,1,Figur,Rolle,Mann
Jenny Treibel,Person,Undirected,,1,Figur,Rolle,Genderneutral
Adolar Krola,Tenor,Undirected,,1,Figur,Rolle,Mann
Adolar Krola,Millionär,Undirected,,1,Figur,Rolle,Mann
"Majorin von Ziegenhals, Edwine von Bomst",Hofdamen,Undirected,,1,Figur,Rolle,Frau
Herr Treibel,Freund,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Berliner,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Gespenst,Undirected,,1,Figur,Rolle,Genderneutral
Vogelsang,Vorachtundvierziger,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Karikatur,Undirected,,1,Figur,Rolle,Genderneutral
Majorin von Ziegenhals,Gnädigste,Undirected,,1,Figur,Rolle,Frau
Vogelsang,Politiker,Undirected,,1,Figur,Rolle,Mann
Vogelsang,Warnungsschatten,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Industrieller,Undirected,,1,Figur,Rolle,Mann
Herr Treibel,Fortschrittler,Undirected,,1,Figur,Rolle,Mann
Majorin von Ziegenhals,Freundin,Undirected,,1,Figur,Rolle,Frau
Majorin von Ziegenhals,Gönnerin,Undirected,,1,Figur,Rolle,Frau
Herr Treibel,Weise,Undirected,,1,Figur,Rolle,Mann
Handelsgärtner,Petroleur,Undirected,,1,Figur,Rolle,Mann
Handelsgärtner,Dynamitarde,Undirected,,1,Figur,Rolle,Mann
Leopold Treibel,Sohn,Undirected,,1,Figur,Rolle,Mann
Fräulein Honig,Gesellschaftsfräulein,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Kollegin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Miss Corinna,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Tischnachbar,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Cousine,Undirected,,1,Figur,Rolle,Frau
Mister Nelson,Repräsentant,Undirected,,1,Figur,Rolle,Mann
Referendar Enghaus,Herr Enghaus,Undirected,,1,Figur,Rolle,Mann
Leopold Treibel,Freund,Undirected,,1,Figur,Rolle,Mann
Familie Schmidt,Familie,Undirected,,1,Figur,Rolle,Genderneutral
Corinna Schmidt,Deutsche,Undirected,,1,Figur,Rolle,Frau
Leopold Treibel,Gentleman,Undirected,,1,Figur,Rolle,Mann
Leopold Treibel,Kommerzienratssohn,Undirected,,1,Figur,Rolle,Mann
Corinna Schmidt,Künstlerin,Undirected,,1,Figur,Rolle,Frau
Corinna Schmidt,Sklavin,Undirected,,1,Figur,Rolle,Frau
