Source,Target,Type,Label,Weight,source type,target type,gender
Magdalena,Schmeichlerin,Undirected,,1,Figur,Genderrolle,Frau
Magdalena,Weib,Undirected,,1,Figur,Genderrolle,Frau
Beschauer,Beschauer,Undirected,,1,Figur,Genderrolle,Mann
Kunstliebhaber,Kunstliebhaber,Undirected,,1,Figur,Genderrolle,Genderneutral
Maler,Heldenkünstler,Undirected,,1,Figur,Genderrolle,Mann
Alegri,Heldenkünstler,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Dichter,Undirected,,1,Figur,Genderrolle,Mann
Figur,Figur,Undirected,,1,Figur,Genderrolle,Genderneutral
Schüler,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Maler,Undirected,,1,Figur,Genderrolle,Mann
Johannes,Johannes,Undirected,,1,Figur,Genderrolle,Mann
Jesus,Jesus,Undirected,,1,Figur,Genderrolle,Mann
St. Michael,St. Michale,Undirected,,1,Figur,Genderrolle,Mann
Christus,Heiland,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Florentiner,Undirected,,1,Figur,Genderrolle,Mann
Leonardo,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Madonna,Mutter,Undirected,,1,Figur,Genderrolle,Frau
Kinder,Kinder,Undirected,,1,Figur,Genderrolle,Genderneutral
Christkind,Kind,Undirected,,1,Figur,Genderrolle,Genderneutral
Christus,Gott,Undirected,,1,Figur,Genderrolle,Genderneutral
Luini,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Solario,Schüler,Undirected,,1,Figur,Genderrolle,Mann
Michael,Michael,Undirected,,1,Figur,Genderrolle,Mann
Anna,Anna,Undirected,,1,Figur,Genderrolle,Frau
Leonardo,Meister,Undirected,,1,Figur,Genderrolle,Mann
Titian,Titian,Undirected,,1,Figur,Genderrolle,Mann
Portraitmaler,Portraitmaler,Undirected,,1,Figur,Genderrolle,Mann
Frau,Frau,Undirected,,1,Figur,Genderrolle,Frau
Individuum,Individuum,Undirected,,1,Figur,Genderrolle,Genderneutral
Herzog,Herzog,Undirected,,1,Figur,Genderrolle,Mann
Madame,Madame,Undirected,,1,Figur,Genderrolle,Frau
Garofalo,Garofalo,Undirected,,1,Figur,Genderrolle,Mann
Garofalo,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Künstler,Undirected,,1,Figur,Genderrolle,Mann
Raffael,Maler,Undirected,,1,Figur,Genderrolle,Mann
Kunstverwandte,Kunstverwandte,Undirected,,1,Figur,Genderrolle,Genderneutral
Michel Angelo,Michel Angelo,Undirected,,1,Figur,Genderrolle,Mann
Masaccio,Masaccio,Undirected,,1,Figur,Genderrolle,Mann
Madonna de Foligno,Madonna de Foligno,Undirected,,1,Figur,Genderrolle,Frau
Madonna de Foligno,Madonna,Undirected,,1,Figur,Genderrolle,Frau
Donatarius,Geistlicher,Undirected,,1,Figur,Genderrolle,Mann
Hieronymus,Alter,Undirected,,1,Figur,Genderrolle,Mann
Franziskus,Figur,Undirected,,1,Figur,Genderrolle,Genderneutral
Johannes,Figur,Undirected,,1,Figur,Genderrolle,Genderneutral
Correggio,Original,Undirected,,1,Figur,Genderrolle,Genderneutral
Geistkicher,Geistlicher,Undirected,,1,Figur,Genderrolle,Mann
Laie,Laie,Undirected,,1,Figur,Genderrolle,Genderneutral
Apostel,Apostel,Undirected,,1,Figur,Genderrolle,Mann
